algo,feat_set,pa_method,rep,fold,k_effective,auc_roc,pr_auc,tss,tss_thr,thr_source,sensitivity,specificity,brier,cal_slope,cal_int,n_pres,n_bg,n_feat_vif,selected,pa_ratio,n_pa_actual,n_pres_tr,n_pres_dropped,n_eval_bg,inner_threshold,hp_str
XGB,M_SP,two_step,4,1,3,0.7952884615384614,0.09230960599935625,0.2690384615009398,0.9147,inner_oof,0.4615,0.8075,0.2458471655845642,0.338,-3.5215,13,400,8,"bio07,bio10,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density,P4_dist_urban",1:1,25,25,0,400,0.9147,"{""subsample"": 0.9, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.05, ""colsample_bytree"": 0.6}"
XGB,M_SP,uncertainty_zone,4,1,3,0.70125,0.06983098740963346,0.09807692300547965,0.0803,inner_oof,0.9231,0.175,0.21116527915000916,0.3501,-3.3512,13,400,8,"bio07,bio10,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density,P4_dist_urban",1:3,75,25,0,400,0.0803,"{""subsample"": 0.9, ""n_estimators"": 300, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}"
XGB,M_SAP,random,4,1,3,0.7951923076923076,0.10087773642635071,0.2215384615010585,0.6629,inner_oof,0.4615,0.76,0.2678157091140747,0.5929,-3.7168,13,400,9,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:3,75,25,0,400,0.6629,"{""subsample"": 0.7, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 7, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}"
XGB,M_SAP,spatial_constrained,4,1,3,0.7876923076923077,0.10266510348496397,0.22653846150104617,0.5281,inner_oof,0.4615,0.765,0.1873439997434616,0.3893,-3.2721,13,400,9,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:3,75,25,0,400,0.5281,"{""subsample"": 0.7, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 7, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}"
XGB,M_SAP,two_step,4,1,3,0.8040384615384616,0.12088145327799651,0.18326923074909818,0.9283,inner_oof,0.2308,0.9525,0.22002683579921722,0.4803,-3.53,13,400,9,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:5,125,25,0,400,0.9283,"{""subsample"": 0.9, ""n_estimators"": 300, ""min_child_weight"": 1, ""max_depth"": 7, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}"
XGB,M_SAP,uncertainty_zone,4,1,3,0.8073076923076923,0.17010493262677032,-7.692313452878352e-11,0.0722,inner_oof,1.0,0.0,0.19747459888458252,0.4915,-3.4141,13,400,9,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:10,250,25,0,400,0.0722,"{""subsample"": 0.7, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 3, ""learning_rate"": 0.2, ""colsample_bytree"": 0.8}"
MXN,M_S,random,4,1,3,0.7373076923076922,0.10904176253800875,0.32461538458344874,0.8751,inner_oof,0.3846,0.94,0.11603032186708331,0.2851,-2.7972,13,400,5,"bio04,bio07,bio10,bio15,bio17",1:3,75,25,0,400,0.8751,"{""l1_ratio"": 1.0, ""C"": 5.0}"
MXN,M_S,spatial_constrained,4,1,3,0.8553846153846154,0.192008270113445,0.3446153845833988,0.6642,inner_oof,0.3846,0.96,0.0904321126754174,0.9457,-2.6668,13,400,5,"bio04,bio07,bio10,bio15,bio17",1:1,25,25,0,400,0.6642,"{""l1_ratio"": 0.75, ""C"": 1.0}"
MXN,M_S,two_step,4,1,3,0.3278846153846154,0.023541863804045833,-7.692313452878352e-11,0.7224,inner_oof,1.0,0.0,0.8264634635309599,-1.9699,1.3672,13,400,5,"bio04,bio07,bio10,bio15,bio17",1:5,125,25,0,400,0.7224,"{""l1_ratio"": 1.0, ""C"": 0.1}"
MXN,M_S,uncertainty_zone,4,1,3,0.8430769230769231,0.1226151548630822,0.3674999999221582,0.0864,inner_oof,1.0,0.3675,0.08935219030121233,0.711,-2.6686,13,400,5,"bio04,bio07,bio10,bio15,bio17",1:1,25,25,0,400,0.0864,"{""l1_ratio"": 0.75, ""C"": 1.0}"
MXN,M_SA,random,4,1,3,0.8186538461538462,0.5342518267660811,-2.5000002068509275e-12,0.9158,inner_oof,0.0,1.0,0.025263425134333325,0.6117,-1.3993,13,400,6,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:1,25,25,0,400,0.9158,"{""l1_ratio"": 0.0, ""C"": 5.0}"
MXN,M_SA,spatial_constrained,4,1,3,0.7686538461538461,0.08248162081211863,0.4330769230046423,0.632,inner_oof,0.9231,0.51,0.39460024311792696,0.8151,-4.3306,13,400,6,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:3,75,25,0,400,0.632,"{""l1_ratio"": 0.0, ""C"": 0.05}"
MXN,M_SA,two_step,4,1,3,0.7575000000000001,0.07781862760771886,0.389999999922102,0.8414,inner_oof,1.0,0.39,0.6063670061891216,0.7234,-5.5388,13,400,6,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:1,25,25,0,400,0.8414,"{""l1_ratio"": 0.75, ""C"": 1.0}"
MXN,M_SA,uncertainty_zone,4,1,3,0.9078846153846154,0.21700845286786924,0.527884615334997,0.3459,inner_oof,0.6154,0.9125,0.05374366702686633,1.9164,-1.2132,13,400,6,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:5,125,25,0,400,0.3459,"{""l1_ratio"": 1.0, ""C"": 0.1}"
MXN,M_SP,random,4,1,3,0.8886538461538462,0.39050239831299255,0.0744230769146661,0.8846,inner_oof,0.0769,0.9975,0.04369767822935167,0.9281,-1.9729,13,400,8,"bio07,bio10,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density,P4_dist_urban",1:3,75,25,0,400,0.8846,"{""l1_ratio"": 0.0, ""C"": 5.0}"
